spell_name,ritual,school,tags,level,casting_time,range,components,duration,description,classes,source_book
Antimagic Field,FALSE,abjuration,"control, negation, warding",8,Action,Self,"V, S, M (iron filings)","Concentration, up to 1 hour","An aura of antimagic surrounds you in 10-foot Emanation. No one can cast spells, take Magic actions, or create other magical effects inside the aura, and those things can't target or otherwise affect anything inside it. Magical properties of magic items don't work inside the aura or on anything inside it.\nAreas of effect created by spells or other magic can't extend into the aura, and no one can teleport into or out of it or use planar travel there. Portals close temporarily while in the aura.\nOngoing spells, except those cast by an Artifact or a deity, are suppressed in the area. While an effect is suppressed, it doesn't function, but the time it spends suppressed counts against its duration.\nDispel Magic has no effect on the aura, and the auras created by different Antimagic Field spells don't nullify each other.","Cleric, Wizard",Player's Handbook 2024
Antipathy/Sympathy,FALSE,enchantment,"control, warding",8,1 hour,60 feet,"V, S, M (a mix of vinegar and honey)",10 days,"As you cast the spell, choose whether it creates antipathy or sympathy, and target one creature or object that is Huge or smaller. Then specify a kind of creature, such as red dragons, goblins, or vampires. A creature of the chosen kind makes a Wisdom saving throw when it comes within 120 feet of the target. Your choice of antipathy or sympathy determines what happens to a creature when it fails that save:\nAntipathy. The creature has the Frightened condition. The Frightened creature must use its movement on its turns to get as far away as possible from the target, moving by the safest route.\nSympathy. The creature has the Charmed condition. The Charmed creature must use its movement on its turns to get as close as possible to the target, moving by the safest route. If the creature is within 5 feet of the target, the creature can't willingly move away. If the target damages the Charmed creature, that creature can make a Wisdom saving throw to end the effect, as described below.\nEnding the Effect. If the Frightened or Charmed creature ends its turn more than 120 feet away from the target, the creature makes a Wisdom saving throw. On a successful save, the creature is no longer affected by the target. A creature that successfully saves against this effect is immune to it for 1 minute, after which it can be affected again.","Bard, Druid, Wizard",Player's Handbook 2024
Arcane Eye,FALSE,divination,"detection, warding",4,Action,30 feet,"V, S, M (a bit of bat fur)","Concentration, up to 1 hour","You create an Invisible, invulnerable eye within range that hovers for the duration. You mentally receive visual information from the eye, which can see in every direction. It also has Darkvision with a range of 30 feet.\nAs a Bonus Action, you can move the eye up to 30 feet in any direction. A solid barrier blocks the eye's movement, but the eye can pass through an opening as small as 1 inch in diameter.",Wizard,Player's Handbook 2024
Arcane Gate,FALSE,conjuration,teleportation,6,Action,500 feet,"V, S","Concentration, up to 10 minutes",Unknown,"Sorcerer, Warlock, Wizard",Player's Handbook 2024
Arcane Lock,FALSE,abjuration,"utility, warding",2,Action,Touch,"V, S, M (gold dust worth 25+ GP, which the spell consumes)",Until dispelled,"You touch a closed door, window, gate, container, or hatch and magically lock it for the duration. This lock can't be unlocked by any nonmagical means. You and any creatures you designate when you cast the spell can open and close the object despite the lock. You can also set a password that, when spoken within 5 feet of the object, unlocks it for 1 minute.",Wizard,Player's Handbook 2024
Arcane Vigor,FALSE,abjuration,healing,2,Bonus Action,Self,"V, S",Instantaneous,Unknown,"Sorcerer, Wizard",Player's Handbook 2024
Armor of Agathys,FALSE,abjuration,"buff, damage, defense, cold",1,Bonus Action,Self,"V, S, M (a shard of blue glass)",1 hour,"Protective magical frost surrounds you. You gain 5 Temporary Hit Points. If a creature hits you with a melee attack roll before the spell ends, the creature takes 5 Cold damage. The spell ends early if you have no Temporary Hit Points.\nUsing a Higher-Level Spell Slot. The Temporary Hit Points and the Cold damage both increase by 5 for cach spell slot level above 1.",Warlock,Player's Handbook 2024
Arms of Hadar,FALSE,conjuration,"control, damage, necrotic",1,Action,Self,"V, S",Instantaneous,Unknown,Warlock,Player's Handbook 2024
Astral Projection,FALSE,necromancy,teleportation,9,1 hour,10 feet,"V, S, M (for each of the spell's targes, one jacinth worth 1,000+ GP, all of which the spell consumes)",Until dispelled,"You and up to eight willing creatures within range project your astral bodies into the Astral Plane (the spell ends instantly if you are already on that plane). Each target's body is left behind in a state of suspended animation; it has the Unconscious condition, doesn't need food or air, and doesn't age.\nA target's astral form resembles its body in almost every way, replicating its game statistics and possessions. The principal difference is the addition of a silvery cord that trails from between the shoulder blades of the astral form. The cord fades from view after 1 foot. If the cord is cut—which happens only when an effect states that it does so—the target's body and astral form both die.\nA target's astral form can travel through the Astral Plane. The moment an astral form leaves that plane, the target's body and possessions travel along the silver cord, causing the target to re-enter its body on the new plane.\nAny damage or other effects that apply to an astral form have no effect on the target's body and vice versa. If a target's body or astral form drops to 0 Hit Points, the spell ends for that target. The spell ends for all the targets if you take a Magic action to dismiss it.\nWhen the spell ends for a target who isn't dead, the target reappears in its body and exits the state of suspended animation.","Cleric, Warlock, Wizard",Player's Handbook 2024
Augury,TRUE,divination,prediction,2,1 minute or Ritual,Self,"V, S, M (special marked sticks, bones, cards, or other divinatory tokens worth 25+ GP)",Instantaneous,"You receive an omen from an otherworldly entity about the results of a course of action that you plan to take within the next 30 minutes. The DM chooses the omen from the Omens table.\n\nOmen	For Results That Will Be...\nWeal	Good\nWoe	Bad\nWeal and woe	Good and bad\nIndifference	Neither good nor bad\n\nThe spell doesn't account for circumstances, such as other spells, that might change the results.\nIf you cast the spell more than once before finishing a Long Rest, there is a cumulative 25 percent chance for each casting after the first that you get no answer.","Cleric, Druid, Wizard",Player's Handbook 2024
Aura of Life,FALSE,abjuration,"buff, healing",4,Action,Self,V,"Concentration, up to 10 minutes","An aura radiates from you in a 30-foot Emanation for the duration. While in the aura, you and your allies have Resistance to Necrotic damage, and your Hit Point maximums can't be reduced. If an ally with 0 Hit Points starts its turn in the aura, that ally regains 1 Hit Point.","Cleric, Paladin",Player's Handbook 2024
Aura of Purity,FALSE,abjuration,buff,4,Action,Self,V,"Concentration, up to 10 minutes","An aura radiates from you in a 30-foot Emanation for the duration. While in the aura, you and your allies have Resistance to Poison damage and Advantage on saving throws to avoid or end effects that include the Blinded, Charmed, Deafened, Frightened, Paralyzed, Poisoned, or Stunned condition.","Cleric, Paladin",Player's Handbook 2024
Aura of Vitality,FALSE,abjuration,buff,3,Action,Self,V,"Concentration, up to 1 minute","An aura radiates from you in a 30-foot Emanation for the duration. When you create the aura and at the start of each of your turns while it persists, you can restore 2d6 Hit Points to one creature in it.","Cleric, Druid, Paladin",Player's Handbook 2024
Awaken,FALSE,transmutation,"creation, buff, social, control",5,8 hours,Touch,"V, S, M (an agate worth 1,000+ GP, which the spell consumes)",Instantaneous,"You spend the casting time tracing magical pathways within a precious gemstone, and then touch the target. The target must be either a Beast or Plant creature with an Intelligence of 3 or less or a natural plant that isn't a creature. The target gains an Intelligence of 10 and the ability to speak one language you know. If the target is a natural plant, it becomes a Plant creature and gains the ability to move its limbs, roots, vines, creepers, and so forth, and it gains senses similar to a human's. The DM chooses statistics appropriate for the awakened Plant, such as the statistics for the Awakened Shrub or Awakened Tree in the Monster Manual.\nThe awakened target has the Charmed condition for 30 days or until you or your allies deal damage to it. When that condition ends, the awakened creature chooses its attitude toward you.","Bard, Druid",Player's Handbook 2024
Bane,FALSE,enchantment,debuff,1,Action,30 feet,"V, S, M (a drop of blood)","Concentration, up to 1 minute","Up to three creatures of your choice that you can see within range must each make a Charisma saving throw. Whenever a target that fails this save makes an attack roll or a saving throw before the spell ends, the target must subtract 1d4 from the attack roll or save.\nUsing a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1.","Bard, Cleric, Warlock",Player's Handbook 2024
Banishing Smite,FALSE,conjuration,"banishment, damage, force, control",5,"Bonus Action, which you take immediately after hitting a creature with a Melee weapon or an Unarmed Strike",Self,V,"Concentration, up to 1 minute","The target hit by the attack roll takes an extra 5d10 Force damage from the attack. If the attack reduces the target to 50 Hit Points or fewer, the target must succeed on a Charisma saving throw or be transported to a harmless demiplane for the duration. While there, the target has the Incapacitated condition. When the spell ends, the target reappears in the space it left or in the nearest unoccupied space if that space is occupied.",Paladin,Player's Handbook 2024
Banishment,FALSE,abjuration,"banishment, control",4,Action,30 feet,"V, S, M (a pentacle)","Concentration, up to 1 minute","One creature that you can see within range must succeed on a Charisma saving throw or be transported to a harmless demiplane for the duration. While there, the target has the Incapacitated condition. When the spell ends, the target reappears in the space it left or in the nearest unoccupied space if that space is occupied.\nIf the target is an Aberration, a Celestial, an Elemental, a Fey, or a Fiend, the target doesn't return if the spell lasts for 1 minute. The target is instead transported to a random location on a plane (DM's choice) associated with its creature type.\nUsing a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 4.","Cleric, Paladin, Sorcerer, Warlock, Wizard",Player's Handbook 2024
Barskin,FALSE,transmutation,"buff, defense",2,Action,Touch,"V, S, M (a handful of bark)",1 hour,"You touch a willing creature. Until the spell ends, the target's skin assumes a bark-like appearance, and the target has an Armor Class of 17 if its AC is lower than that.","Druid, Ranger",Player's Handbook 2024
Beacon of Hope,FALSE,abjuration,buff,3,Action,30 feet,"V, S","Concentration, up to 1 minute","Choose any number of creatures within range. For the duration, each target has Advantage on Wisdom saving throws and Death Saving Throws and regains the maximum number of Hit Points possible from any healing.",Cleric,Player's Handbook 2024
Beast Sense,TRUE,divination,"detection, scrying",2,Action or Ritual,Touch,S,"Concentration, up to 1 hour",Unknown,"Druid, Ranger",Player's Handbook 2024
Befuddlement,FALSE,enchantment,"debuff, damage, psychic",8,Action,150 feet,"V, S, M (a key ring with no keys)",Instantaneous,Unknown,"Bard, Druid, Warlock, Wizard",Player's Handbook 2024
Bestow Curse,FALSE,necromancy,debuff,3,Action,Touch,"V, S","Concentration, up to 1 minute","You touch a creature, which must succeed on a Wisdom saving throw or become cursed for the duration. Until the curse ends, the target suffers one of the following effects of your choice:\n• Choose one ability. The target has Disadvantage on ability checks and saving throws made with that ability.\n• The target has Disadvantage on attack rolls against you.\n• In combat, the target must succeed on a Wisdom saving throw at the start of each of its turns or be forced to take the Dodge action on that turn.\n• If you deal damage to the target with an attack roll or a spell, the target takes an extra 1d8 Necrotic damage.\nUsing a Higher-Level Spell Slot. If you cast this spell using a level 4 spell slot, you can maintain Concentration on it for up to 10 minutes. If you use a level 5+ spell slot, the spell doesn't require Concentration, and the duration becomes 8 hours (level 5-6 slot) or 24 hours (level 7-8 slot). If you use a level 9 spell slot, the spell lasts until dispelled.","Bard, Cleric, Wizard",Player's Handbook 2024
Bigby's Hand,FALSE,evocation,"summoning, damage, control, bludgeoning",5,Action,120 feet,"V, S, M (an eggshell and a glove)","Concentration, up to 1 minute","You create a Large hand of shimmering magical energy in an unoccupied space that you can see within range. The hand lasts for the duration, and it moves at your command, mimicking the movements of your own hand.\nThe hand is an object that has AC 20 and Hit Points equal to your Hit Point maximum. If it drops to 0 Hit Points, the spell ends. The hand doesn't occupy its space.\nWhen you cast the spell and as a Bonus Action on your later turns, you can move the hand up to 60 feet and then cause one of the following effects:\nClenched Fist. The hand strikes a target within 5 feet of it. Make a melee spell attack. On a hit, the target takes 5d8 Force damage. Forceful Hand. The hand attempts to push a Huge or smaller creature within 5 feet of it. The target must succeed on a Strength saving throw, or the hand pushes the target up to 5 feet plus a number of feet equal to five times your spellcasting ability modifier. The hand moves with the target, remaining within 5 feet of it.\nGrasping Hand. The hand attempts to grapple a Huge or smaller creature within 5 feet of it. The target must succeed on a Dexterity saving throw, or the target has the Grappled condition, with an escape DC equal to your spell save DC. While the hand grapples the target, you can take a Bonus Action to cause the hand to crush it, dealing Bludgeoning damage to the target equal to 4d6 plus your spellcasting ability modifier.\nInterposing Hand. The hand grants you Half Cover against attacks and other effects that originate from its space or that pass through it. In addition, its space counts as Difficult Terrain for your enemies.\nUsing a Higher-Level Spell Slot. The damage of the Clenched Fist increases by 2d8 and the damage of the Grasping Hand increases by 2d6 for each spell slot level above 5.","Sorcerer, Wizard",Player's Handbook 2024
Blade Barrier,FALSE,evocation,"control, damage, slashing",6,Action,90 feet,"V, S","Concentration, up to 10 minutes","You create a wall of whirling blades made of magical energy. The wall appears within range and lasts for the duration. You make a straight wall up to 100 feet long, 20 feet high, and 5 feet thick, or a ringed wall up to 60 feet in diameter, 20 feet high, and 5 feet thick. The wall provides Three-Quarters Cover, and its space is Difficult Terrain.\nAny creature in the wall's space makes a Dexterity saving throw, taking 6d10 Force damage on a failed save or half as much damage on a successful one. A creature also makes that save if it enters the wall's space or ends it turn there. A creature makes that save only once per turn.",Cleric,Player's Handbook 2024
Blade Ward,FALSE,abjuration,defense,0,Action,Self,"V, S","Concentration, up to 1 minute","Whenever a creature makes an attack roll against you before the spell ends, the attacker subtracts 1d4 from the attack roll.","Bard, Sorcerer, Warlock, Wizard",Player's Handbook 2024
Bless,FALSE,enchantment,buff,1,Action,30 feet,"V, S, M (a Holy Symbol, worth 5+ GP)","Concentration, up to 1 minute","You bless up to three creatures within range. Whenever a target makes an attack roll or a saving throw before the spell ends, the target adds 1d4 to the attack roll or save.\nUsing a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1.","Cleric, Paladin",Player's Handbook 2024
Blight,FALSE,necromancy,"damage, necrotic",4,Action,30 feet,"V, S",Instantaneous,"A creature that you can see within range makes a Constitution saving throw, taking 8d8 Necrotic damage on a failed save or half as much damage on a successful one. A Plant creature automatically fails the save.\nAlternatively, target a nonmagical plant that isn't a creature, such as a tree or shrub. It doesn't make a save; it simply withers and dies.\nUsing a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 4.","Druid, Sorcerer, Warlock, Wizard",Player's Handbook 2024
Blinding Smite,FALSE,evocation,"damage, debuff, radiant",3,"Bonus Action, which you take immediately after hitting a creature with a Melee weapon or an Unarmed Strike",Self,V,1 minute,"The target hit by the strike takes an extra 3d8 Radiant damage from the attack, and the target has the Blinded condition until the spell ends. At the end of each of its turns, the Blinded target makes a Constitution saving throw, ending the spell on itself on a success.\nUsing a Higher-Level Spell Slot. The extra damage increases by 1d8 for each spell slot level above 3.",Paladin,Player's Handbook 2024
Blindness/Deafness,FALSE,transmutation,debuff,2,Action,120 feet,V,1 minute,"One creature that you can see within range must succeed on a Constitution saving throw, or it has the Blinded or Deafened condition (your choice) for the duration. At the end of each of its turns, the target repeats the save, ending the spell on itself on a success.\nUsing a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 2.","Bard, Cleric, Sorcerer, Wizard",Player's Handbook 2024
Blink,FALSE,transmutation,"defense, teleportation",3,Action,Self,"V, S",1 minute,"Roll 1d6 at the end of each of your turns for the duration. On a roll of 4–6, you vanish from your current plane of existence and appear in the Ethereal Plane (the spell ends instantly if you are already on that plane). While on the Ethereal Plane, you can perceive the plane you left, which is cast in shades of gray, but you can't see anything there more than 60 feet away. You can affect and be affected only by other creatures on the Ethereal Plane, and creatures on the other plane can't perceive you unless they have a special ability that lets them perceive things on the Ethereal Plane.\nYou return to the other plane at the start of your next turn and when the spell ends if you are on the Ethereal Plane. You return to an unoccupied space of your choice that you can see within 10 feet of the space you left. If no unoccupied space is available within that range, you appear in the nearest unoccupied space.","Sorcerer, Wizard",Player's Handbook 2024
Blur,FALSE,illusion,defense,2,Action,Self,V,"Concentration, up to 1 minute","Your body becomes blurred. For the duration, any creature has Disadvantage on attack rolls against you. An attacker is immune to this effect if it perceives you with Blindsight or Truesight.","Sorcerer, Wizard",Player's Handbook 2024
Burning Hands,FALSE,evocation,"damage, fire",1,Action,Self,"V, S",Instantaneous,"A thin sheet of flames shoots forth from you. Each creature in a 15-foot Cone makes a Dexterity saving throw, taking 3d6 Fire damage on a failed save or half as much damage on a successful one.\nFlammable objects in the Cone that aren't being worn or carried start burning.\nUsing a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 1.","Sorcerer, Wizard",Player's Handbook 2024
Call Lightning,FALSE,conjuration,"damage, lightning",3,Action,120 feet,"V, S","Concentration, up to 10 minutes","A storm cloud appears at a point within range that you can see above yourself. It takes the shape of a Cylinder that is 10 feet tall with a 60-foot radius.\nWhen you cast the spell, choose a point you can see under the cloud. A lightning bolt shoots from the cloud to that point. Each creature within 5 feet of that point makes a Dexterity saving throw, taking 3d10 Lightning damage on a failed save or half as much damage on a successful one.\nUntil the spell ends, you can take a Magic action to call down lightning in that way again, targeting the same point or a different one.\nIf you're outdoors in a storm when you cast this spell, the spell gives you control over that storm instead of creating a new one. Under such conditions, the spell's damage increases by 1d10.\nUsing a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 3.",Druid,Player's Handbook 2024
Calm Emotions,FALSE,enchantment,"buff, social",2,Action,60 feet,"V, S","Concentration, up to 1 minute","Each Humanoid in a 20-foot-radius Sphere centered on a point you choose within range must succeed on a Charisma saving throw or be affected by one of the following effects (choose for each creature):\n• The creature has Immunity to the Charmed and Frightened conditions until the spell ends. If the creature was already Charmed or Frightened, those conditions are suppressed for the duration.\n• The creature becomes Indifferent about creatures of your choice that it's Hostile toward. This indifference ends if the target takes damage or witnesses its allies taking damage. When the spell ends, the creature's attitude returns to normal.","Bard, Cleric",Player's Handbook 2024
Chain Lightning,FALSE,evocation,"damage, lightning",6,Action,150 feet,"V, S, M (three silver pins)",Instantaneous,"You launch a lightning bolt toward a target you can see within range. Three bolts then leap from that target to as many as three other targets of your choice, each of which must be within 30 feet of the first target. A target can be a creature or an object and can be targeted by only one of the bolts.\nEach target makes a Dexterity saving throw, taking 10d8 Lightning damage on a failed save or half as much damage on a successful one.\nUsing a Higher-Level Spell Slot. One additional bolt leaps from the first target to another target for each spell slot level above 6.","Sorcerer, Wizard",Player's Handbook 2024
Charm Monster,FALSE,enchantment,"control, social, debuff",4,Action,30 feet,"V, S",1 hour,"One creature you can see within range makes a Wisdom saving throw. It does so with Advantage if you or your allies are fighting it. On a failed save, the target has the Charmed condition until the spell ends or until you or your allies damage it. The Charmed creature is Friendly to you. When the spell ends, the target knows it was Charmed by you.\nUsing a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 4.","Bard, Druid, Sorcerer, Warlock, Wizard",Player's Handbook 2024
Charm Person,FALSE,enchantment,"control, social, debuff",1,Action,30 feet,"V, S",1 hour,"One Humanoid you can see within range makes a Wisdom saving throw. It does so with Advantage if you or your allies are fighting it. On a failed save, the target has the Charmed condition until the spell ends or until you or your allies damage it. The Charmed creature is Friendly to you. When the spell ends, the target knows it was Charmed by you.\nUsing a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1.","Bard, Druid, Sorcerer, Warlock, Wizard",Player's Handbook 2024
Chill Touch,FALSE,necromancy,"damage, necrotic",0,Action,Touch,"V, S",Instantaneous,"Channeling the chill of the grave, make a melee spell attack against a target within reach. On a hit, the target takes 1d10 Necrotic damage, and it can't regain Hit Points until the end of your next turn.\nCantrip Upgrade. The damage increases by 1d10 when you reach levels 5 (2d10), 11 (3d10), and 17 (4d10).","Sorcerer, Warlock, Wizard",Player's Handbook 2024
Chromatic Orb,FALSE,evocation,"damage, fire, cold, lightning, acid, poison, thunder",1,Action,90 feet,"V, S, M (a diamond worth 50+ GP)",Instantaneous,"You hurl an orb of energy at a target within range. Choose Acid, Cold, Fire, Lightning, Poison, or Thunder for the type of orb you create, and then make a ranged spell attack against the target. On a hit, the target takes 3d8 damage of the chosen type.\nIf you roll the same number on two or more of the d8s, the orb leaps to a different target of your choice within 30 feet of the target. Make an attack roll against the new target, and make a new damage roll. The orb can't leap again unless you cast the spell with a level 2+ spell slot.\nUsing a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 1. The orb can leap a maximum number of times equal to the level of the slot expended, and a creature can be targeted only once by each casting of this spell.","Sorcerer, Wizard",Player's Handbook 2024
Circle of Death,FALSE,necromancy,"damage, necrotic",6,Action,150 feet,"V, S, M (the powder of a crushed black pearl worth 500+ GP)",Instantaneous,"Negative energy ripples out in a 60-foot-radius Sphere from a point you choose within range. Each creature in that area makes a Constitution saving throw, taking 8d8 Necrotic damage on a failed save or half as much damage on a successful one.\nUsing a Higher-Level Spell Slot. The damage increases by 2d8 for each spell slot level above 6.","Sorcerer, Warlock, Wizard",Player's Handbook 2024
Circle of Power,FALSE,abjuration,buff,5,Action,Self,V,"Concentration, up to 10 minutes",Unknown,"Cleric, Paladin, Wizard",Player's Handbook 2024
Clairvoyance,FALSE,divination,"detection, scrying, utility",3,10 minutes,1 mile,"V, S, M (a focus worth 100+ GP, either a jeweled horn for hearing or a glass eye for seeing)","Concentration, up to 10 minutes","You create an Invisible sensor within range in a location familiar to you (a place you have visited or seen before) or in an obvious location that is unfamiliar to you (such as behind a door, around a corner, or in a grove of trees). The intangible, invulnerable sensor remains in place for the duration.\nWhen you cast the spell, choose seeing or hearing. You can use the chosen sense through the sensor as if you were in its space. As a Bonus Action, you can switch between seeing and hearing.\nA creature that sees the sensor (such as a creature benefiting from See Invisibility or Truesight) sees a luminous orb about the size of your fist.","Bard, Cleric, Sorcerer, Wizard",Player's Handbook 2024
